progname,probsize,OMP_NUM_THREADS,OMP_PROC_BIND,OMP_PLACES,OMP_SCHEDULE,xtime,stddev
bt_nas,lrgprob,4,close,cores,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,close,cores,static,4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,1",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,128",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,256",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,32",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,512",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,64",4500.0,0.0
bt_nas,lrgprob,4,close,cores,"static,8",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,static,4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,1",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,128",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,256",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,32",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,512",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,64",4500.0,0.0
bt_nas,lrgprob,4,close,sockets,"static,8",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,close,threads,static,4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,1",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,128",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,256",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,32",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,512",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,64",4500.0,0.0
bt_nas,lrgprob,4,close,threads,"static,8",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,static,4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,1",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,128",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,256",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,32",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,512",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,64",4500.0,0.0
bt_nas,lrgprob,4,spread,cores,"static,8",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,static,4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,1",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,128",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,256",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,32",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,512",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,64",4500.0,0.0
bt_nas,lrgprob,4,spread,sockets,"static,8",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,1",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,32",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,64",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"dynamic,8",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,1",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,128",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,256",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,32",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,512",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,64",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"guided,8",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,static,4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,1",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,128",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,256",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,32",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,512",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,64",4500.0,0.0
bt_nas,lrgprob,4,spread,threads,"static,8",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"dynamic,1",3177.2400000000002,0.8412490713216673
bt_nas,lrgprob,8,close,cores,"dynamic,128",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"dynamic,256",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"dynamic,32",3896.72,2.429217981161887
bt_nas,lrgprob,8,close,cores,"dynamic,512",4500.0,0.0
bt_nas,lrgprob,8,close,cores,"dynamic,64",3924.0866666666666,4.239602968832533
bt_nas,lrgprob,8,close,cores,"dynamic,8",3442.903333333333,1.209683154108373
